["Cc1noc2nc(C3CC3)cc(C(NC3CCCCC3)=O)c12", 0.207]
["Cc1c(C(NC2CC2)=O)sc(CC(Nc(cc2)cc(C)c2F)=O)n1", 0.207]
["Cc(cc1)ccc1-c1nc(-c2ccc(C(NC3CCCCC3)=O)s2)no1", 0.207]
["Cc(cc1)ccc1-c1cc(C(NC2CCCCCC2)=O)cnc1", 0.207]
["Cc(cc1)ccc1-c1cc(C(NC2CCCCC2)=O)cnc1", 0.207]
["COc1cccc(-c2cc(C(NC3CCCC3)=O)no2)c1", 0.207]
["COc(cc1)cc2c1sc(C(NCC1CCCCC1)=O)c2Cl", 0.207]
["CN(CC(OC)OC)C(C(NC1CCCC1)=O)c(cc1)ccc1Cl", 0.207]
["CCc1cccc(CC)c1N(C(N)=C(C(NC1CCCC1)=O)S1)C1=S", 0.207]
["CCCc1c(C(NC2CCCC2)=O)nnn1-c(cc1)ccc1Cl", 0.207]
["CCCN(CC1)CCC1NC(C(CC)Oc1cccc(Cl)c1)=O", 0.207]
["CCC(NCc1ccc(-c2noc(CCC3CCCC3)n2)s1)=O", 0.207]
["CCC(C)C(c1nc(-c(cc2)ccc2Cl)no1)NC(C1CCCC1)=O", 0.207]
["CCC(C(NC1CCN(C)CC1)=O)Oc(cc1)ccc1Cl", 0.207]
["CC(c1ccccc1)NC(c1ccc(-c2ccc(C3CCCCC3)cc2)s1)=O", 0.207]
["CC(C)CCNC(c1ccc(-c2ccc(C3CCCCC3)cc2)s1)=O", 0.207]
["CC(C(NC1CCCCC1)=O)N(CC1)CCN1c1cccc(Cl)c1", 0.207]
["O=C(c1noc(C2CC2)c1)NC1CCCC1", 0.206]
["O=C(c1ccc(N2c(cc(cc3)Cl)c3OCC2)s1)NC1CCCCCC1", 0.206]
["O=C(c(s1)ccc1S(N1CCCC1)(=O)=O)NC1CC1", 0.206]
["O=C(CCc1nnc(C(Nc2cccc(Cl)c2)=O)s1)NC1CCCCCC1", 0.206]
["O=C(CC1CCCC1)N(CCC1)CC1c1nnc(C(Nc2cccc(Cl)c2)=O)s1", 0.206]
["O=C(CC(CC1)CCN1C(c1nnc(C(Nc2cccc(Cl)c2)=O)s1)=O)NC1CCCC1", 0.206]
["Cc(s1)c(C(NC2CCCCCC2)=O)nc1Cl", 0.206]
["COc1cccc(N(C(C(NC2CCCCC2)=O)c2cnccc2)C(CCl)=O)c1", 0.206]
["COc(cc1)cc2c1c(Sc(cc1)ccc1Cl)c(C(NC1CCCCCC1)=O)[nH]2", 0.206]
["CCOC(c1c(NC(c2cccc(Cl)c2)=O)sc(C(NC2CCCC2)=O)c1C)=O", 0.206]
["CCN(c(cccc1)c1N=C1N(CC2)CCC2NC(Nc2cccc(Cl)c2)=O)C1=O", 0.206]
["CCCC(C(NC1CC1)=O)n1c(cccc2)c2nc1Cc(c(Cl)ccc1)c1Cl", 0.206]
["CCC(C(NC1CCCCCC1)=O)Oc1ccccc1", 0.206]
["CC(C(NCc1noc(C2CCCCC2)n1)=O)Oc1cccc(Cl)c1", 0.206]
["c1(NC([C@H](NC(c2oc3c(c2)cccc3)=O)CCSC)=O)ncc(s1)C", 0.205]
["O=C(c1noc(-c(cccc2)c2Cl)c1)NC1CCCC1", 0.205]
["O=C(c1nnc(Cc(ccc(Cl)c2)c2Cl)o1)NC1CCCC1", 0.205]
["O=C(c1ccc(N2c(cc(cc3)Cl)c3OCC2)s1)NC1CCCCCCC1", 0.205]
["O=C(c1ccc(Cn2ncc(Cl)c2)o1)NC1CCCCCC1", 0.205]
["O=C(c1ccc(Cn2ncc(Cl)c2)o1)NC1CCCCC1", 0.205]
["O=C(c1ccc(Cn2ncc(Cl)c2)o1)NC1CC1", 0.205]
["O=C(c1ccc(-c(cc2)cc3c2OCCO3)s1)NC1CCCC1", 0.205]
